what,with,type_education,institution,programming,certificate
"Learn to Program, The Fundamentals",Coursera, Online,University of Toronto,Python,statement of completion
"Learn to Program, Crafting Quality Code",Coursera, Online,University of Toronto,Python,statement of completion
"Coding the Matrix, Linear Algebra through Computer Science Applications",Coursera, Online,Brown University,Python,statement of completion
An Introduction to Interactive Programming in Python,Coursera, Online,Rice University,Python,statement of completion
Cluster Analysis in Data Mining,Coursera, Online,University of Illinois at Urbana-Champaign,Python,statement of completion
Sequence Models,Coursera, Online,deeplearning.ai,Python,statement of completion
Web Intelligence and Big Data,Coursera, Online,Indian Institute of Technology Delhi,"Python, SQL, R",statement of completion
Data-driven Astronomy,Coursera, Online,University of Sydney,"Python, SQL, R",statement of completion
Introduction to Data Science,Coursera, Online,University of Washington,"Python, SQL, R",statement of completion
R Programming,Coursera, Online,Johns Hopkins University,R,statement of completion
Getting and Cleaning Data,Coursera, Online,Johns Hopkins University,R,statement of completion
The Data Scientist’s Toolbox,Coursera, Online,Johns Hopkins University,R,statement of completion
Reproducible Research,Coursera, Online,Johns Hopkins University,R,statement of completion
Exploratory Data Analysis,Coursera, Online,Johns Hopkins University,R,statement of completion
Developing Data Products,Coursera, Online,Johns Hopkins University,R,statement of completion
Practical Machine Learning ,Coursera, Online,Johns Hopkins University,R,statement of completion
Regression Models,Coursera, Online,Johns Hopkins University,R,statement of completion
Statistical Inference,Coursera, Online,Johns Hopkins University,R,statement of completion
Computing for Data Analysis,Coursera, Online,Johns Hopkins University,R,statement of completion
Bayesian Statistics: From Concept to Data Analysis,Coursera, Online,"University of California, Santa Cruz",R,statement of completion
Core Concepts in Data Analysis,Coursera, Online,Higher School of Economics,"Matlab, R",statement of completion
Machine Learning ,Coursera, Online,Stanford University,Octave,statement of completion
The Analytics Edge,Edx, Online,MITx – 15.071x,R,statement of completion
Introduction to Big Data with Apache Spark,Edx, Online,BerkeleyX – CS100.1x,"Python, Spark",statement of completion
Scalable Machine Learning,Edx, Online,BerkeleyX - CS190.1x,"Python, Spark",statement of completion
Data mining with Weka,weka.waikato.ac.nz, Online,University of Waikato,Weka,statement of completion
More data mining with Weka,weka.waikato.ac.nz, Online,University of Waikato,Weka,statement of completion
Introduction to statistical learning,online.stanford.edu, Online,Stanford University,R,statement of completion
Datenmanagement mit SQL,open.hpi.de, Online,Hasso-Plattner-Institut,SQL,statement of completion
